id,title,amount_granted,amount_sought,init_year,period,gender,age,position,inst1_id,inst2_id,inst1_dirty,inst2_dirty,funder1_id,funder2_id,person_id,kw1,kw2,full_name,last_name,first_name,prob_inst_id,institution_name,funder_name,type,gender_new
78,tuberculosis outcome at aarhus university hospital from 2001 to 2015,103100,0,2016,0,0,-1,"",12,1,aarhus universitetshospital,NULL,6,11,3141,"","",hilberg; ole,hilberg,ole,0,aarhus-univ-hosp,det frie forskningsråd,Skolarstipendier,1
79,the mechanism of calcium channel blocker oedema,400000,0,2014,0,0,-1,"",12,1,aarhus universitetshospital,NULL,1,2,3169,"","",hjortdal; vibeke elisabeth,hjortdal,vibeke elisabeth,0,aarhus-univ-hosp,novo nordisk,Projekt,0
80,myocardial metabolism in heart failure induced by right ventricular volume overload,103100,0,2016,0,0,-1,"",12,1,aarhus universitetshospital,NULL,6,11,3169,"","",hjortdal; vibeke elisabeth,hjortdal,vibeke elisabeth,0,aarhus-univ-hosp,det frie forskningsråd,Skolarstipendier,0
81,hvorfor får nogle patienter en blodprop efter en by-pass operation af hjertet?,150000,0,2015,0,0,-1,"",12,1,aarhus universitetshospital,NULL,1,2,3386,"","",hvas; anne-mette,hvas,anne-mette,0,aarhus-univ-hosp,novo nordisk,Skolarstipendier,0
82,genetiske faktorer og for tidlig ovariealdring,120000,0,2015,0,0,-1,"",12,1,aarhus universitetshospital,NULL,1,2,3426,"","",ingerslev; hans jakob,ingerslev,hans jakob,0,aarhus-univ-hosp,novo nordisk,Skolarstipendier,1
83,gen-ekspression ved inflemmatoriske hudsygdomme: transkriptionel og translationel regulation.,500000,0,2011,0,0,-1,"",12,1,aarhus universitetshospital,NULL,1,2,3451,"","",iversen; lars,iversen,lars,0,aarhus-univ-hosp,novo nordisk,Projekt,1
84,opsporing af kritisk forværring og intervention hos hospitals- indlagte børn - et regionalt multi-center studie om implementering af pædiatrisk early warning system,100000,0,2015,0,0,-1,"",12,1,aarhus universitetshospital,NULL,1,2,3610,"","",jensen; claus sixtus,jensen,claus sixtus,0,aarhus-univ-hosp,novo nordisk,Projekt,1
85,"incidens, prævalens og prognose for patienter med leveradenomer",162382,0,2014,0,0,-1,"",12,1,aarhus universitetshospital,NULL,6,11,3809,"","",jepsen; peter,jepsen,peter,0,aarhus-univ-hosp,det frie forskningsråd,Skolarstipendier,1
86,optimering af nyrens hæmodynamik med glycocalyx bevarelse i forbindelse med nyretransplantation - kombinationer af væsketerapi og lav-dosis noradrenalin med grisen som forsøgsdyr,685000,0,2014,0,0,-1,"",12,1,aarhus universitetshospital,NULL,1,2,3816,"","",jespersen; bente,jespersen,bente,0,aarhus-univ-hosp,novo nordisk,Projekt,0
87,optimering af nyrens hæmodynamik med glycocalyx bevarelse i forbindelse med nyretransplantation - kombinationer af væsketerapi og lav-dosis noradrenalin med grisen som forsøgsdyr,150000,0,2014,0,0,-1,"",12,1,aarhus universitetshospital,NULL,1,2,3816,"","",jespersen; bente,jespersen,bente,0,aarhus-univ-hosp,novo nordisk,Skolarstipendier,0
